real_count,accuracy_real_only,accuracy_plus_synth,accuracy_change,accuracy_verdict,escape_rate_real_only,escape_rate_plus_synth,escape_rate_change,escape_rate_verdict,frr_real_only,frr_plus_synth,frr_change,frr_verdict
2 real,0.8828,0.8586,-0.0242,worsened,0.3555,0.2889,-0.0666,improved,0.0278,0.0861,0.0583,worsened
5 real,0.8869,0.8687,-0.0182,negligible,0.2963,0.2444,-0.0519,negligible,0.0445,0.0889,0.0444,worsened
10 real,0.903,0.8768,-0.0263,worsened,0.2815,0.2074,-0.0741,improved,0.0278,0.0917,0.0639,worsened
all real (18),0.9131,0.8707,-0.0424,worsened,0.2148,0.1852,-0.0296,negligible,0.0389,0.1083,0.0694,worsened
